transaction_id,txn_date,txn_time,customer_id,counterparty_name,currency_pair,amount_eur,country,channel,customer_risk_rating
TXN-002347,2026-04-27,11:56:12,CUST-0252,Richards-Harris,EUR/USD,4267.38,GB,API,Low
TXN-004345,2026-03-21,07:41:13,CUST-0037,Buchanan Inc,USD/JPY,2240.39,FR,API,Low
TXN-000692,2026-05-07,10:05:35,CUST-0051,Atkinson LLC,EUR/USD,2023.9,US,API,Medium
TXN-003911,2026-04-05,10:43:02,CUST-0097,"Soto, Alexander and Cobb",EUR/GBP,1257.69,FR,API,Low
TXN-002488,2026-02-10,08:58:00,CUST-0191,"Hart, Turner and Foster",EUR/JPY,410.05,NL,Online,Medium
TXN-000080,2026-05-09,16:21:55,CUST-0019,"Hensley, Powell and David",EUR/USD,2535.98,DE,Branch,Low
TXN-002603,2026-05-12,12:58:52,CUST-0021,Hall-Williams,USD/JPY,15992.74,FR,API,Low
TXN-002701,2026-05-21,21:51:34,CUST-0171,Marquez PLC,EUR/USD,7043.44,GB,Online,Low
TXN-002209,2026-06-21,18:08:02,CUST-0209,Shaffer-Manning,EUR/GBP,4490.54,DE,Online,Medium
TXN-003474,2026-06-27,20:01:41,CUST-0291,Santos Group,EUR/JPY,1777.43,IT,Branch,Low
TXN-000492,2026-01-30,11:04:24,CUST-0015,Anderson-Bell,EUR/CHF,49598.54,US,Online,Medium
TXN-002985,2026-05-26,21:04:50,CUST-0127,Wright-Jacobson,GBP/USD,367.11,IT,Branch,Low
TXN-004692,2026-02-08,09:45:31,CUST-0173,Rodriguez-Allen,EUR/CHF,9085.36,FR,API,Low
TXN-001011,2026-02-13,13:42:00,CUST-0187,Davis and Sons,EUR/GBP,11314.92,PL,Branch,Low
TXN-001213,2026-04-24,19:23:38,CUST-0020,West-Wilson,EUR/CHF,600.07,GB,Online,Low
TXN-000678,2026-06-27,07:38:11,CUST-0090,Allen Inc,EUR/CHF,1947.1,BE,Branch,Low
TXN-003805,2026-02-03,16:38:42,CUST-0106,Carlson-Ferguson,USD/JPY,595.35,IE,Branch,Low
TXN-003856,2026-06-22,19:28:42,CUST-0198,George-Daugherty,EUR/JPY,4049.7,ES,API,Low
TXN-003662,2026-06-24,18:10:22,CUST-0193,"Ferguson, Sanchez and Smith",EUR/CHF,1674.93,FR,Branch,Medium
TXN-000298,2026-02-04,17:43:09,CUST-0071,Schmidt PLC,EUR/USD,93.73,IT,API,Low
TXN-000472,2026-06-01,08:14:24,CUST-0233,Combs Ltd,EUR/JPY,3441.29,BE,Online,Medium
TXN-003314,2026-02-10,20:00:46,CUST-0080,Martin-Parker,EUR/CHF,1892.87,US,API,Low
TXN-003774,2026-02-13,13:12:09,CUST-0255,"Welch, Alvarez and Mcdonald",EUR/JPY,1434.72,IE,Branch,Medium
TXN-004620,2026-01-25,21:27:02,CUST-0173,Grant-Woods,GBP/USD,9220.25,US,Online,Low
TXN-001346,2026-06-25,15:54:49,CUST-0126,"Velez, Ward and Harrison",GBP/USD,5992.11,DE,Online,Low
TXN-004591,2026-05-04,12:59:22,CUST-0205,Wells PLC,USD/JPY,1066.35,US,Branch,Low
TXN-001184,2026-05-26,19:50:22,CUST-0222,Phelps LLC,GBP/USD,843.05,US,Online,High
TXN-004142,2026-01-17,12:18:47,CUST-0271,Bowman-Murphy,EUR/JPY,16725.97,NL,API,Low
TXN-000788,2026-02-20,11:44:54,CUST-0046,Benton Group,EUR/GBP,2378.04,US,Online,Low
TXN-002708,2026-03-24,12:21:40,CUST-0112,Gordon Ltd,EUR/USD,11806.37,GB,API,Low
TXN-001345,2026-02-14,11:19:05,CUST-0076,Williams and Sons,EUR/GBP,1256.57,FR,Online,Medium
TXN-003807,2026-01-16,19:11:43,CUST-0181,"Johnson, Blackwell and Thompson",EUR/JPY,2838.57,NL,Online,High
TXN-003593,2026-04-09,21:01:55,CUST-0053,Roberts LLC,EUR/GBP,1391.24,NL,Branch,Low
TXN-002875,2026-04-08,07:54:21,CUST-0044,Delgado Inc,EUR/CHF,2687.21,FR,API,Low
TXN-000479,2026-05-25,12:39:17,CUST-0275,Young-Martinez,EUR/CHF,2248.65,IT,Branch,Low
TXN-004524,2026-05-27,12:45:09,CUST-0101,Vincent LLC,GBP/USD,799.15,IT,Branch,High
TXN-001618,2026-04-26,19:34:55,CUST-0184,Singh and Sons,EUR/CHF,5368.38,US,Online,Medium
TXN-004023,2026-04-05,07:34:06,CUST-0066,"Morgan, Rose and Schwartz",GBP/USD,7988.23,BE,API,Low
TXN-004797,2026-06-11,13:43:17,CUST-0132,Gutierrez-Ross,EUR/JPY,20000.0,GB,Branch,High
TXN-000502,2026-05-08,13:13:26,CUST-0188,Paul-Kline,EUR/CHF,1572.22,DE,Branch,Low
TXN-002618,2026-06-14,08:41:40,CUST-0067,Bautista-Underwood,EUR/JPY,4854.65,PL,Branch,High
TXN-000808,2026-01-06,20:13:10,CUST-0205,Bailey LLC,EUR/JPY,212.57,GB,Branch,Low
TXN-004672,2026-02-25,13:26:38,CUST-0139,Baker Group,USD/JPY,9735.71,IT,Online,Low
TXN-001095,2026-06-02,07:48:58,CUST-0034,Jones Ltd,GBP/USD,737.66,FR,Online,Medium
TXN-004042,2026-02-07,21:43:17,CUST-0118,"Olsen, Davis and Thompson",EUR/USD,1591.0,DE,Online,Low
TXN-001863,2026-03-17,15:02:52,CUST-0073,Scott PLC,EUR/USD,4995.08,IT,Branch,Low
TXN-002442,2026-01-29,09:34:49,CUST-0173,Harrell Group,EUR/USD,1151.91,ES,Branch,Low
